a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.33-1
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-1
alembic 1.8.3-2
alsa-card-profiles 1:0.3.51-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amd-ucode 20220509.b19cbdc-1
analitza 22.04.1-1
android-file-transfer 4.2-2
android-tools 31.0.3-5
android-udev 20220102-1
aom 3.3.0-1
apparmor 3.0.4-1
appstream-glib 0.7.18-3
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-7
arb 2.22.1-1
arc-gtk-theme 20220405-1
arc-solid-gtk-theme 20220405-1
archlinux-appstream-data 20220512-1
archlinux-keyring 20220424-1
argon2 20190702-4
aribb24 1.0.3-3
arpack 3.8.0-2
asciidoc 10.1.4-1
asciinema 2.1.0-2
asciiquarium 1.1-6
aspell 0.60.8-2
assimp 5.2.3-1
astyle 3.1-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
atop 2.7.1-2
attica 5.94.0-1
attr 2.5.1-2
audacious-plugins 4.1-6
audacity 1:2.4.1-7
audit 3.0.8-1
auto-cpufreq 1.7.2-1
autoconf 2.71-1
autojump-rs 0.4.0-1
automake 1.16.5-1
autossh 1.4g-2
avahi 0.8+22+gfd482a7-3
awesome 4.3-3
b43-fwcutter 019-3
babl 0.1.90-2
bash 5.1.016-2
bash-completion 2.11-2
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
bcg729 1.1.1-1
biber 1:2.17-1
binutils 2.38-5
bison 3.8.2-4
bitwarden 1.33.0-1
blender 17:3.1.2-2.1
blosc 1.21.1-2
blueberry 1.4.6-1
blueman 2.2.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-tools 0.2.0-5
bluez-utils 5.64-2
boost 1.78.0-2
boost-libs 1.78.0-2
botan 2.19.1-1
bpython 0.22.1-3
bpytop 1.0.68-1
breeze-icons 5.94.0-1
brial 1.2.10-2
brlaser-git v6.r10.g9d7ddda-1
broot 1.12.0-1
